source,target,weight
0,1157,1.0
0,2279,1.0
0,3938,1.0
0,5301,1.0
0,5859,1.0
0,5912,1.0
1,1039,1.0
1,1211,1.0
1,1432,1.0
1,2462,1.0
1,2712,1.0
1,3374,1.0
1,4311,1.0
1,4938,1.0
1,5465,1.0
1,5592,1.0
1,5688,1.0
2,422,1.0
2,1602,1.0
2,2025,1.0
2,3031,1.0
2,3776,1.0
2,4868,1.0
2,5930,1.0
3,867,1.0
3,3473,1.0
3,4514,1.0
3,4984,1.0
3,5260,1.0
3,5480,1.0
4,1978,1.0
4,3324,1.0
4,3626,1.0
4,4219,1.0
4,5032,1.0
5,451,1.0
5,815,1.0
5,3120,1.0
5,4245,1.0
5,4854,1.0
5,5620,1.0
5,5808,1.0
6,73,1.0
6,1477,1.0
6,1872,1.0
6,2063,1.0
6,2798,1.0
6,5116,1.0
7,14,1.0
7,1494,1.0
7,2017,1.0
7,2524,1.0
7,2632,1.0
7,3280,1.0
7,3453,1.0
7,3859,1.0
7,5200,1.0
8,657,1.0
8,1708,1.0
8,2009,1.0
8,2164,1.0
8,2704,1.0
8,2958,1.0
8,3669,1.0
9,816,1.0
9,841,1.0
9,2861,1.0
9,3362,1.0
9,4969,1.0
10,298,1.0
10,1027,1.0
10,1087,1.0
10,2764,1.0
10,3197,1.0
10,3332,1.0
10,4549,1.0
10,4698,1.0
10,5522,1.0
11,104,1.0
11,445,1.0
11,1166,1.0
11,1215,1.0
11,2037,1.0
11,3715,1.0
12,1146,1.0
12,2078,1.0
12,2673,1.0
12,3648,1.0
12,5999,1.0
13,910,1.0
13,1628,1.0
13,1933,1.0
13,1935,1.0
13,2986,1.0
13,4127,1.0
13,4286,1.0
13,4708,1.0
13,5119,1.0
13,5136,1.0
14,596,1.0
14,2524,1.0
14,2632,1.0
14,3977,1.0
14,5129,1.0
15,1931,1.0
15,2046,1.0
15,3131,1.0
15,4183,1.0
15,4197,1.0
16,1504,1.0
16,2203,1.0
16,2375,1.0
16,2884,1.0
16,3463,1.0
16,4770,1.0
16,5332,1.0
17,1278,1.0
17,2668,1.0
17,2889,1.0
17,4187,1.0
17,5760,1.0
17,5808,1.0
18,279,1.0
18,942,1.0
18,2227,1.0
18,4959,1.0
18,5156,1.0
19,266,1.0
19,818,1.0
19,2810,1.0
19,4263,1.0
19,4867,1.0
20,176,1.0
20,1042,1.0
20,1723,1.0
20,3263,1.0
20,3329,1.0
20,4103,1.0
20,4674,1.0
21,279,1.0
21,942,1.0
21,2705,1.0
21,3176,1.0
21,5156,1.0
21,5745,1.0
22,664,1.0
22,2211,1.0
22,2803,1.0
